Python File,Category,LOC,Go Equivalent,Status,Priority,Action,Notes
src/alert_history/config.py,Config,~100,internal/config/,✅ COMPLETE,🟢 LOW,DELETE,"Viper config loader полностью реплицирует функциональность"
src/alert_history/logging_config.py,Infrastructure,~50,pkg/logger/,✅ COMPLETE,🟢 LOW,DELETE,"Slog structured logging работает"
src/alert_history/database/sqlite_adapter.py,Database,~200,internal/database/sqlite.go,✅ COMPLETE,🟢 LOW,ARCHIVE,"Go адаптер работает, оставить как reference"
src/alert_history/database/postgresql_adapter.py,Database,~300,internal/database/postgres.go,✅ COMPLETE,🟢 LOW,ARCHIVE,"pgx адаптер полностью функционален"
src/alert_history/database/migration_manager.py,Database,~150,internal/infrastructure/migrations/,✅ COMPLETE,🟢 LOW,DELETE,"Goose migrations работают"
src/alert_history/core/interfaces.py,Core,~200,internal/core/interfaces.go,✅ COMPLETE,🟢 LOW,ARCHIVE,"Alert models мигрированы, оставить как reference"
src/alert_history/core/metrics.py,Observability,~100,pkg/metrics/,✅ COMPLETE,🟢 LOW,DELETE,"Prometheus metrics в Go"
src/alert_history/core/base_classes.py,Core,~80,N/A (Go doesn't need),✅ COMPLETE,🟢 LOW,DELETE,"Python-specific base classes"
src/alert_history/core/shutdown.py,Infrastructure,~60,cmd/server/main.go (graceful shutdown),✅ COMPLETE,🟢 LOW,DELETE,"Go graceful shutdown реализован"
src/alert_history/core/app_state.py,Core,~120,N/A (stateless design),⚠️  EVALUATE,🟡 MED,DELETE,"Go stateless, но нужна проверка"
src/alert_history/core/stateless_manager.py,Core,~90,N/A (Go stateless),✅ COMPLETE,🟢 LOW,DELETE,"Не нужен в Go"
src/alert_history/utils/stateless_decorators.py,Utils,~50,N/A,✅ COMPLETE,🟢 LOW,DELETE,"Python decorators, не нужны в Go"
src/alert_history/utils/common.py,Utils,~80,pkg/utils/,⚠️  EVALUATE,🟡 MED,CASE-BY-CASE,"Проверить какие утилиты используются"
